Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1962","1962","1000 ha","1410","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1963","1963","1000 ha","1420","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1964","1964","1000 ha","1485","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1965","1965","1000 ha","1555","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1966","1966","1000 ha","1635","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1967","1967","1000 ha","1636","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1968","1968","1000 ha","1716","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1969","1969","1000 ha","1790","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1970","1970","1000 ha","1856","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1971","1971","1000 ha","1887","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1972","1972","1000 ha","1887","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1973","1973","1000 ha","2048","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1974","1974","1000 ha","2048","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1975","1975","1000 ha","2122","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1976","1976","1000 ha","2205","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1977","1977","1000 ha","2287","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1978","1978","1000 ha","2360","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1979","1979","1000 ha","2443","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1980","1980","1000 ha","2516","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1981","1981","1000 ha","2599","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1982","1982","1000 ha","2679","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1983","1983","1000 ha","2682","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1984","1984","1000 ha","2748","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1985","1985","1000 ha","2681","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1986","1986","1000 ha","2612","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1987","1987","1000 ha","2539","I","Valor imputado",""
